-Bad
-Bad

-0.03, 1.000, 0.001
-0.02, 1.000, 0.00025
-0.015, 1.000, 0.00025
-0.01, 1.000, 0.00075
-0.005, 1.000, 0.00125
0.00, 0.995, 0.00025
0.001, 0.991, 0.00025
0.005, 1.000, 0.00025
0.01, 1.000, 0.001
0.015, 0.99990, 0.00025
0.02, 1.00027, 0.001
0.03, 1.000, 0.000251



-Good

-0.305,1.00034,0.0001
-0.2503,1.0001,0.000025
-0.201,1.0005,0.0001
-0.152,1.00005,0.00005
-0.107,1.0007,0.0001
-0.051,0.997,0.0001
0,0.995,0.000125
0.05,0.997,	0.0001
0.1,1.00034,0.000025
0.155,1.0007,0.0001
0.21,1.00005,0.0001
0.24,1.0007,0.000075
0.31,1.00005,0.00025
0.34,1.00034,0.00005
0.399,1.00034,0.0001



-Bad

-0.3,1.0,0.0001
-0.25,1.0,0.0001
-0.20,1.0,0.0001
-0.15,1.0,0.0001
-0.10,1.0,0.0001
-0.05,1.0,0.0001
-0.02,0.9975,0.0001
0,0.995,0.0001
0.05,1.0,0.0001
0.10,1.0,0.0001
0.15,1.0,0.0001
0.20,1.0,0.0001
0.25,1.0,0.0001
0.30,1.0,0.0001
